symbol,kor_name,group,period,atomic_number,atomic_weight,covalent_radius_exp,van_der_waals_radius_exp,electronegativity,electron_affinity,first_ionization_energy,melting_point_K,boiling_point_K,density_g_cm3,thermal_conductivity
Am,아메리슘,악티늄족,7,95,243,175,230,1.3,,1449.0,2880,13.67,
Cm,퀴륨,악티늄족,7,96,247,175,230,1.3,,1618.0,3383,13.51,
Bk,버클륨,악티늄족,7,97,247,175,230,1.3,,1259.0,2900,14.78,
Cf,캘리포늄,악티늄족,7,98,251,175,230,1.3,,900.0,1753,15.1,
Es,아인슈타이늄,악티늄족,7,99,252,175,230,1.3,,1133.0,1269,8.84,
Fm,페르뮴,악티늄족,7,100,257,175,230,1.3,,1800.0,1115,9.7,
Md,멘델레븀,악티늄족,7,101,258,175,230,1.3,,1100.0,1100,??,
No,노벨륨,악티늄족,7,102,259,175,230,1.3,,827.0,1743,??,
Lr,로렌슘,악티늄족,7,103,262,175,230,1.3,,1600.0,1900,??,
Rf,러더포듐,4,7,104,267,175,230,??,,??,??,??,
Db,더브늄,5,7,105,270,175,230,??,,??,??,??,
Sg,시보귬,6,7,106,271,175,230,??,,??,??,??,
Bh,보륨,7,7,107,270,175,230,??,,??,??,??,
Hs,하슘,8,7,108,270,175,230,??,,??,??,??,
Mt,마이트너륨,9,7,109,278,175,230,??,,??,??,??,
Ds,다름슈타튬,10,7,110,281,175,230,??,,??,??,??,
Rg,렌트게늄,11,7,111,282,175,230,??,,??,??,??,
Cn,코페르니슘,12,7,112,285,175,230,??,,??,??,??,
Nh,니호늄,13,7,113,286,175,230,??,,??,??,??,
Fl,플레로븀,14,7,114,289,175,230,??,,??,??,??,
Mc,모스코븀,15,7,115,290,175,230,??,,??,??,??,
Lv,리버모륨,16,7,116,293,175,230,??,,??,??,??,
Ts,테네신,17,7,117,294,175,230,??,,??,??,??,
Og,오가네손,18,7,118,294,175,230,??,,??,??,??,
